client,therapist
I AM 15 AND I WANT TO KNOW IF MY FATHER IS NORMAL ?,"There is no one answer to this question since there is no one definition of ""normal."" However, if you are concerned about your father's behavior, you may want to talk to a trusted adult about your concerns."
"When I get around a particular person or when I go home, I'm just sad or irritated. The feeling comes and goes all day every day. I don't know what wrong. I'm not sure if I'm just making up symptoms and problems in my head or if there is something actually wrong.","There could be many potential causes for feeling sad or irritated around a particular person or when you go home. It could be a sign of unresolved conflict or tension with that person, or it could be a sign of depression or anxiety. If the feeling is persistent and interferes with your daily life, it's important to talk to a doctor or mental health professional to rule out any underlying health conditions."
I cry myself to sleep every night.,"I'm so sorry to hear that. It sounds like you're really struggling. If you need someone to talk to, please don't hesitate to reach out to a counselor or therapist. They can help you work through whatever it is that's causing you so much pain."
My daughter was overly tired and throwing a fit at her grandparent's house. She wanted to come home at midnight and cried screamed said she said she hated her grandma and that she wanted to kill herself!    We also have a new baby in the house i didn't know if this would contribute to this. How should I approach this?,"If your daughter is exhibiting signs of distress or mental illness, it is important to seek professional help. This may include talking to her pediatrician, a mental health professional, or both. It is also important to create a supportive and safe environment at home. This may include providing structure and routine, maintaining open communication, and ensuring that she feels loved and supported."
Hesitant to utilize a mental health service,"ConfidentialityIf you are concerned about confidentiality, you should discuss this with the mental health service provider before using their services."
"I resent my brother, is that bad?","While it is perfectly normal to feel resentful towards siblings at times, it is important to communicate openly with one another in order to maintain a healthy relationship. If you find that you are constantly feeling resentful, it may be beneficial to talk to a therapist or counselor who can help you work through these feelings."
has anyone ever tapered off fetzima?,"Yes, people have tapered off Fetzima successfully. However, it is always best to consult with a doctor before making any changes to your medication regimen."
Struggling to get out of bed,"There are a few things you can do to make getting out of bed easier in the morning. One thing you can do is to set your alarm clock to a song that you enjoy, so that you associate getting out of bed with something positive. You can also try putting your alarm clock across the room from your bed, so that you have to get up to turn it off. Finally, you can try setting a goal for yourself for the day, so that you have something to look forward to once you get out of bed."
I'm rationalyzing why I shouldn't help myself and I don't know how to get out of that thought process.,"There are a few reasons why you might not want to help yourself in a given situation. Maybe you don't think you deserve help, or maybe you're worried that you won't be able to repay the favor. Alternatively, you might simply not have the resources available to help yourself. Whatever the reason, it's important to remember that you are not obligated to help yourself if you don't want to. You can always ask for help from others, and there is no shame in admitting that you need assistance."
My father is in the hospital and was diagnosed with leukemia. I have been dealing with that all day. My husband keeps getting mad at me for things that I said.,I'm sorry to hear that your father is in the hospital. I know it's been a tough day for you. I'm sorry if I've been getting mad at you for things you said. I know you're under a lot of stress.
i really need some people to talk to.,"I'm sorry to hear that you're feeling lonely. Has something happened recently that has made you feel this way? If you're looking for someone to talk to, you might consider joining a support group or counseling. Alternatively, you could reach out to friends and family members to see if they're available to chat."
"My wife is always accusing me of cheating and telling me that I'm doing things she finds disrespectful even when I don't mean it like that. For example, she gets offended when I call someone at work ""sweetheart."" I wish I had a penny for every time she accused me of cheating on her. She doesn't, and never will say she was wrong. How do I get her to understand?","You might try sitting down with her and explaining that you understand why she feels the way she does, but that you would never cheat on her and that you would appreciate it if she could trust you more. You could also ask her to tell you specifically what she finds disrespectful so that you can avoid doing those things in the future."
"I believe my partner has a masturbation and porn problem. He masturbates daily, even when I am lying in bed sleeping beside him. We have sex once a week. He is rough and worries about his needs. He never touches me, and treats me like a porn star, wanting to finish on my face or chest.","You should talk to your partner about your concerns and see if he is willing to talk about the issue and work on changing his behavior. If he is not willing to talk about it or make any changes, then you might need to consider whether the relationship is right for you."
Is this a normal life? Note I'm 12,"At 12 years old, you are just beginning to enter into adolescence, so it is perfectly normal for you to feel like your life is a bit chaotic or out of control at times. It's also perfectly normal to feel like you're not quite sure what you want to do with your life yet. Just remember that you have plenty of time to figure things out and that there is no rush to make any major decisions right now. Take your time, enjoy your life, and don't stress too much about the future."
"I have been married for 20 years. He and I both cheated. I hid my cheating for 14 years. Over that time, I let life stress me out. I became depressed. When I finally woke up, he felt I had pushed him out.","It sounds like both you and your husband have some work to do in terms of rebuilding trust and communication in your marriage. It will be important for the two of you to openly discuss what led to the infidelity in the first place and to establish some ground rules for moving forward. If you are both committed to rebuilding your relationship, counseling can be a great resource to help you navigate these challenges."
My boyfriend is in recovery from drug addiction. We recently got into a fight and he has become very distant. I don't know what to do to fix the relationship.,"It sounds like you are feeling insecure in your relationship due to your boyfriend's past with drug addiction. It's important to communicate with him and express how you are feeling. He may need some space right now, but hopefully you can work things out."
"These ""jokes"" are made about everything. They seem to have the need to say something ""funny"" about everything. It's not funny, just awkward.","It's not that these people are necessarily trying to be funny, but rather that they feel the need to say something in order to participate in the conversation. In some cases, this might be due to shyness or insecurity, while in others it may be simply because they enjoy making others laugh. Either way, it can be pretty annoying."
"I'm a Christian teenage girl, and I have lost my virginity. My boyfriend is a Christian teenager too, but things just got out of hand between us in a sexual manner. I planned to abstain from sex but I guess I wasn't clear about this because I was also tempted and led him on. We continued to have sex. Does it mean that he isn't the one God planned for me? We're so young, but that doesn't stop me from dreaming of a potential future together. I really do feel like he is in my life for an important reason. I'm incredibly happy for I was able to escape from several abusive relationships because of him. I love him very much.","It's possible that your boyfriend is the one that God has planned for you, but it's also possible that he isn't. There's no way to know for sure. It's important to remember that sex is a big decision and should be treated as such. If you're not ready to have sex, then you shouldn't be doing it."
I felt grateful when COVID hit.,"I felt grateful when COVID hit because I realized how much I took my health for granted. I also realized how many people in the world are suffering from illness and disease, and I was reminded of how lucky I am to be healthy."
The world is hopeless. Pain is inevitable. But I still want to live. Anyone else ever feel that way?,"Yes, I definitely feel that way sometimes. Life can be really tough and it seems like there's no hope, but I still want to live because there's so much to experience. I think it's important to find things that make you happy and hold on to them, even when everything else seems dark."
"I am a single mother. As a child, I was molested by my mother's boyfriend. I never knew my father. I started having children at 18 right after high school. After having children, I completely lost myself and gave all of my focus on my children. Now my children are getting older, but I still don't know myself. I've had several attempts at relationships, and they all fail. I stopped caring about a lot after my children's father left me. I fell into a spiral and got depressed.",It sounds like you have been through a lot in your life. It is understandable that you would feel like you have lost yourself after becoming a single parent. It is important to try to find time for yourself and to do things that make you happy. It may also be helpful to talk to a therapist about your past experiences and how they have affected you.
"I stress over everything. If I don't have enough ""quality time"" with my boyfriend, I start to feel resentment towards him. He has three children, and they are great kids, but I find we don't have much time together. I break down easily and find myself depressed.","It sounds like you're feeling a bit overwhelmed and like you're not getting the attention you need from your boyfriend. It's important to communicate with him about how you're feeling and to try to work together to find ways to spend more time together. It's also important to make sure that you're taking care of yourself and taking time for your own hobbies and interests. If you're feeling overwhelmed, it may help to talk to a therapist or counselor who can help you manage your stress and anxiety."
I don't want to be alone with my thoughts,"I can understand why you might not want to be alone with your thoughts, as they can sometimes be overwhelming or intrusive. However, it is important to spend some time alone occasionally in order to reflect on your life and what is important to you. Additionally, being alone can give you a chance to relax and unwind without having to worry about others. If you find that you are always around people and never have time to be alone, try to schedule some alone time into your week, even if it is just for a few minutes."
Overcome guilt due to Erectile dysfunction,"There are a number of ways to overcome guilt due to erectile dysfunction. One is to seek counseling or therapy to help address any underlying psychological issues that may be contributing to the problem. Another is to talk openly and honestly with your partner about the issue. Finally, it is important to remember that erectile dysfunction is a medical condition that is not your fault. With treatment, it is possible to overcome erectile dysfunction and have a healthy and enjoyable sex life."
how do you figure out what's making you dissatisfied?,There are a few ways to figure out what's making you dissatisfied. One way is to keep a journal and track your moods and what events or circumstances preceded them. Another way is to talk to a therapist or counselor who can help you identify patterns in your life that may be causing dissatisfaction.
"My boyfriend says I'm nuts. I need to get help because I get an overwhelming feeling that he is cheating on me. Whenever I try to talk with him about it, he always turns it around on me by telling me what I'm doing wrong. I know that accusing him does not help. When his whole demeanor shifts towards me, I can't help but think that something is wrong. Am I wrong for feeling this way? I try to talk with him to make it better. I let him know when I am feeling down. But I am not confident in these things.  Two weeks ago a girl texted his phone 3 times trying to hook up with him. He texted her back with ""Sorry, I've been working. I just read your message."" The girl was trying to get him to call her at a time when he was at home with me. He texted her back with ""Don't text me anymore."" I don't feel like I am way out of the line. But I can't talk with him if all that he will say is that I'm crazy and I need help. What should I do? How will I go about checking if there really is something wrong with me?","There are a few things you can do in this situation. First, it is important to try to communicate with your boyfriend about your concerns. If he is not willing to talk about the issue, you could consider seeing a counselor or therapist together to help address the issue. Additionally, if you are worried that he is cheating on you, you could try asking him directly about it. If he denies it, you could ask him to show you his phone or social media to prove that he is not cheating. If he continues to refuse to talk about the issue or show you his phone, it could be a sign that he is indeed cheating on you. In this case, you may want to consider breaking up with him."
People always judge others so rudely.,"I agree that people can be quite judgmental towards others, and it can be quite rude. I think that people should try to be more understanding and accepting of others, instead of judging them so harshly."
"I'm a teenage girl, and I feel very bad about my weight. I don't know how to make it stop.","There are a number of things you can do to try to lose weight, but it's important to remember that everyone's body is different and what works for one person might not work for another. Some basic tips to get started include eating a healthy diet and exercising regularly. You can also talk to your doctor about your weight and whether there are any medical issues that could be contributing to your weight gain."
My family thinks my old HS class were my friends. Are they right or do I have bad parents?,"It is possible that you have bad parents if they think that your old high school class are your friends. It is also possible that your parents are right and you do have friends from your old high school class. If you are not sure, you should ask your parents why they think this."
"I have been dating my boyfriend for a month, and we want a baby. We don't work or drive, and we haven't talked to our parents. What should we do?","If you are both certain that you want to have a baby, then you will need to start saving up money and planning for the future. You will need to start looking into health insurance and child care options, as well as saving up for a place of your own. It is also important to talk to your parents about your plans, as they will likely be involved in helping to care for the child."
"He had a sexual relationship with his sister and kept it from me for years, I confronted about it and he finally told me what happened. But I dont think he is telling me the whole story. He works with her and sees her every day.    I feel that I shouldn't stay with him , but he says he ended it long time ago. Should I trust my husband and stay with him?","You should definitely trust your husband and stay with him. If he has ended his sexual relationship with his sister, then there is no reason to doubt him. If you have any concerns, you can always talk to him about it and he will likely be open and honest with you."
"I've been bullied for years and the teachers have done nothing about it. I haven't been diagnosed with depression, but i have been extremely sad for years.   How can I deal with being bullied at school when the teachers won't help?","There are a few things you can do if you're being bullied at school and the teachers aren't helping. You can try to talk to the bully yourself and see if that helps, or you can try to find someone at school who can be a friend and help you deal with the bullying. You can also try to tell your parents or another adult you trust about what's going on so they can help you deal with it. Finally, remember that it's not your fault that you're being bullied and that you can't control what other people do. Just focus on taking care of yourself and try to find ways to cope with the bullying."
"My therapist is gay so there are no sexual issues here. However, my therapist for six years has made me believe that he cares about me and that we are friends. I have loaned money to him many times, and he always paid me back.   I had a medical emergency last weekend and I was heavily medicated. I knew that this therapist came into my home and wrote down my credit card information so he could pay back what he owed me, but this therapist dropped me off and never came again. I don't know what to do.","Contact your therapist and explain what happened. If he is truly your friend, he will understand and make arrangements to repay you. If he does not respond or makes excuses, then you may need to consider taking legal action to get your money back."
i was addicted to porn since the second grade. I'm in my early 40s and overcame my addiction during my separation from my wife of 15 years.,"It's never too late to overcome an addiction, and it sounds like you've been successful in doing so. Congratulations!"
I keep lashing out without intending to do so,"There could be a few reasons why you might keep lashing out without intending to do so. It could be a sign that you're feeling overwhelmed or hopeless in your current situation. Alternatively, it could be a sign of underlying anger issues that need to be addressed. If you find yourself in this situation frequently, it might be helpful to speak to a therapist or counselor who can help you understand and manage your emotions in a more constructive way."
"Now that the other girl is out of the picture, our sex life isn't the same. Is it because he is still thinking about the other girl?","It is possible that he is still thinking about the other girl, which could be affecting your sex life. Alternatively, there could be other factors at play, such as stress or tiredness. If you are concerned, you could try talking to him about it to see if he has any insights."
I keep getting prescribed mood stabilizers,"There are many possible reasons why you might keep getting prescribed mood stabilizers. It could be that your symptoms are not well controlled by other medications, or that you have a history of mood instability. If you are concerned about your medication regimen, talk to your doctor to see if there are any alternatives that might be a better fit for you."
Anyone else have problems with praise?,"I definitely have problems with praise. I always feel like I don't deserve it or that I'm not good enough. It's something I'm working on, but it's definitely a struggle."
"My husband used a lot of negative words to hurt me, and I moved out. He is seeing a counselor and wants another chance to make things right. I'm not sure if I trust that he will not go back to his old ways.","It can be difficult to trust someone who has hurt you in the past, but if your husband is truly committed to change then it may be worth giving him another chance. If you are unsure, you could always speak to his counselor to get a better sense of whether or not they think he is truly committed to change."
Coming out of years of trauma,"It can be difficult to come out of years of trauma. You may have experienced a lot of pain and suffering, and it can be hard to let go of that. However, it is important to remember that you are not your trauma. You are strong and capable of overcoming anything that comes your way. Do not let your past define you. Instead, use it as a stepping stone to a better future."
I need some help understanding my brain,"It sounds like you are seeking some help in understanding your own brain and how it works. This is a great question to ask, and there are many resources available to help you learn more about how your brain works. Some suggestions for further exploration may include reading about neuroscience or psychology, attending workshops or lectures on the topic, or speaking with a mental health professional about your specific questions."
"For the past year, I have been feeling pressured to do well in school, and it put a ton of stress on me. I have been bullied for five years, and for some reason, it is now sinking in, and I can't stop it. For some other reason, I can't find a hobby I can see myself doing without thinking bad about myself.","It sounds like you are feeling a lot of pressure and stress in your life right now. It's understandable that you would feel this way after being bullied for so many years. It's important to find an activity or hobby that you enjoy and that helps you relax. Maybe try something that is creative, like painting or writing. Or something that gets you moving, like hiking or biking. Doing something that you enjoy can help you feel better about yourself and reduce the stress in your life."
Suggestions to achieve the max amount of relaxation?,"There are many things people can do to relax, and what works for one person might not work for another. Some possible suggestions include things like listening to calming music, spending time in nature, practicing yoga or meditation, journaling, and spending time with friends and family. Basically, anything that helps you to feel calm and relaxed can be beneficial. Experiment and find what works best for you!"
"I am not sure if I am depressed. I don't know how to bring it up to my parents, and that makes me miserable.","One possibility is that you are experiencing something called ""masked depression."" Masked depression is when a person seems to be functioning well on the outside, but is actually struggling with depression on the inside. It can be tough to talk about because it can be hard to see from the outside. If you're feeling like you might be depressed, it's important to talk to someone about it, whether that's a trusted friend, family member, or mental health professional. They can help you figure out if what you're experiencing is depression, and can provide support and resources."
"I am currently suffering from erectile dysfunction and have tried Viagra, Cialis, etc. Nothing seemed to work. My girlfriend of 3 years is very sexually frustrated. I told her that it is okay for her to have sex with other men. Is that really okay?","There is no easy answer to this question. Ultimately, it depends on the relationship between you and your girlfriend. If you trust each other and are comfortable communicating openly about your relationship, then it may be okay for her to have sex with other men. However, if you do not trust each other or if you are not comfortable communicating about your relationship, then it is probably not a good idea for her to have sex with other men."
I just want to be heard.,"I just want to be heard. I want someone to listen to me and understand what I'm saying. I feel like I'm not being listened to, and it's frustrating. I just want to be listened to and respected."
"I'm a guy. If I don't like girls, nor do I like guys, does that mean I'm gay?","No, it does not mean you are gay."
I need help but I don't know how to talk to my parents about it.,"It can be difficult to talk to your parents about personal or sensitive topics, but it is important to communicate with them about things that are important to you. Try to start the conversation by explaining why you need to talk to them, and be honest and open about what you are feeling. If you are struggling to find the right words, you might want to consider writing down what you want to say beforehand. Remember that your parents love you and want to support you, so try to approach the conversation with patience and understanding."
We've been in a long distance relationship for two and a half years. I recently saw his phone and saw the people he texts the most and one of them was a female coworker. I don't know how to approach this situation. How do I ask him about it?.,"There's no easy way to approach this situation, but the best thing you can do is to talk to him about it directly. Ask him why he's texting this other woman so much, and see what he has to say. If he seems evasive or defensive, that may be a sign that there's something more going on. In any case, it's important to communicate openly with each other to ensure that your relationship is healthy and strong."
Why do I feel happy then all of a sudden want to die?,"There can be many reasons why someone may feel happy one moment and then want to die the next. It could be due to a chemical imbalance in the brain, a sudden onset of depression, or even just a feeling of overwhelming sadness or hopelessness. If you are experiencing these kinds of emotions on a regular basis, it's important to talk to a doctor or mental health professional to get help."
I have this weird fetish that I'm afraid to open up about it. What should I do?,"If you're feeling uncomfortable or anxious about your fetish, it may be helpful to talk to a therapist or counselor who can help you explore your feelings and give you tools to deal with them. It may also be helpful to connect with others who share your fetish online or at meetups, as this can help you feel less alone and more accepted."
mental illness makes me want to punch things,"1. Mental illness can cause people to feel angry and frustrated, which can lead to violence.2. Mental illness can also cause people to act impulsively and lash out without thinking.3. Mental illness can make it difficult for people to control their emotions, which can lead to outbursts of violence."
I'm 15 and my girlfriend is 14. Am I a pedophile because I'm attracted to her and she's under 18?,"No, you are not a pedophile. Pedophilia is defined as a sexual attraction to children who are below the age of puberty. Since your girlfriend is above the age of puberty, you are not a pedophile."
"I've been in a relationship for almost a year, and I absolutely trust my boyfriend. He treats me nice, checks on me, and tells me sweet things. However, when it comes to making life decisions, I feel he is very immature. I try to talk things out so we can compromise or make sound decisions together, but he lacks any ideas and prefers to just go with anything to avoid fighting. As far as dates, if I don't say anything, plan it, or have money to chip in, we will not go. I feel like I put in a lot of work supporting and sometimes spoiling, and all I get is a loyal man who will not cheat and say sweet things on occasion.","It sounds like you have a great relationship with your boyfriend, but that you feel like he's not quite ready to take on the level of responsibility that you're looking for. It's important to be able to communicate openly about your needs and expectations in a relationship, and it sounds like you've tried to do that. If your boyfriend is unwilling or unable to meet you halfway on these things, it might be worth considering whether this is the right relationship for you in the long term."
My take on mental health hotlines,"If you are in need of mental health assistance, please consider contacting one of the many mental health hotlines available. These hotlines provide confidential, anonymous, and free support from trained professional counselors.Mental health hotlines can be a great resource for those in need of assistance, but it is important to remember that they are not a replacement for professional mental health care. If you are experiencing a mental health crisis, please seek professional help immediately."
I keep having nightmares about letting down this girl I used to be in love with,"It sounds like you are still struggling with feelings of guilt and regret over your past relationship. It is important to forgive yourself and move on, or else you will continue to be haunted by these nightmares. Try to focus on the positive aspects of your life now and the future you want to build for yourself. If you need help resolving these issues, consider seeking out professional therapy."
How can I know if I'm just being paranoid?,"There is no sure way to know for sure if you are just being paranoid, but there are some signs that may indicate that you are. For example, if you are constantly worrying about things that are unlikely to happen, or if you are excessively suspicious of others, these may be signs that you are suffering from paranoia. If you are experiencing these symptoms, it is important to seek professional help, as paranoia can be a sign of a more serious mental health condition."
I feel like I'm finally getting somewhere,This is a great feeling! You are probably making progress in your understanding of how to program.
I feel like the hospital will only help me if I stab myself,"If you are feeling like you may harm yourself, please seek professional help immediately. The hospital can provide you with the resources and support you need to stay safe."
I am so so so tired. I don't know how to cope.,"There are a few things that you can do in order to cope with feeling tired all the time. First, make sure that you are getting enough sleep at night. If you are not getting enough sleep, then your body will be tired during the day. Second, try to eat healthy foods and exercise regularly. Eating healthy foods and exercising will help to increase your energy levels. Finally, if you are still feeling tired, you can try taking a nap during the day."
My grandma and brother both passed away 11 years ago and sometimes at night I just can't stop crying while thinking about the good memories we had but won't have ever again. I can't sleep at night when the memories and tears come I'll be fine all day then at night...boom! it's like waterfalls from my eyes. Why can't I stop crying?,"It's natural to feel sadness and grief when you lose a loved one, and it can take time to adjust to life without them. It's normal to have periods of crying, especially at night when you're alone with your thoughts. If you find that you're struggling to cope with your sadness, consider seeking out counseling or therapy to help you work through your emotions."
"I've been with him for a couple months. We will talk everyday and he will get mad over something I will say and not talk to me. We have our great moments, but I just need to focus on my personal situations, and I feel he is slowing me down with that. I still wanna be with him, but not now.","It sounds like you care about this person, but you feel like you're being held back by the relationship. It's important to communicate your needs to your partner, and see if they are willing to meet you halfway. If not, then it might be time to reconsider the relationship."
"I have been dealing with depression and anxiety for a number of years. I have been on medication, but lately my depression has felt worse. Can counseling help?","Yes, counseling can definitely help with depression and anxiety. It can provide you with support and tools to manage your symptoms and help you to feel better."
I'm constantly in a bad mood and I have no energy. Is that depression?,"Yes, that could be a sign of depression. Other signs of depression can include changes in appetite, weight, sleep, energy levels, concentration, and interest in activities. If you think you might be depressed, it's important to see a mental health professional for an evaluation."
"My son claims that hes been having extremely violent thoughts and dreams. Not violent like he's hurting someone, but violent thoughts like horrible things happening to his loved ones. He explained one of his dreams the other day and it was so violent it was sickening. It was far beyond anything in a horror movie, he says he can't help these thoughts they just pop up. Please help!","There are a number of potential causes of violent thoughts and dreams, ranging from psychological disorders to simply watching too many horror movies. If your son is having difficulty controlling his thoughts or if they are causing him distress, it may be worth talking to a mental health professional to see if he has a condition that needs to be treated. Additionally, try to limit his exposure to violent media, as this can help decrease the frequency of violent thoughts."
"I'm in a relationship, but I feel like I'm always putting more into it and not getting reciprocated. My ex told me that I will never find anyone else, and that's lingering in the back of my mind.","If you feel like you're putting more into the relationship than you're getting back, then it may be time to reassess your priorities. If your ex told you that you would never find anyone else, then they were likely trying to manipulate you into staying with them. Don't let their words hold you back from finding happiness elsewhere."
"Sometimes, I'm fine and can go out or meet people, but other days, my heart races and words physically cannot come out of my mouth. I've always thought it was normal and I was just nervous, but the other day, it took me almost 30 minutes of sitting in my car to find the courage to enter Target by myself.","You may be experiencing social anxiety, which is a type of anxiety that can make it difficult to interact with others. If you are having difficulty with everyday activities like going to the store, it may be helpful to talk to a mental health professional to see if you would benefit from treatment."
"I am on the track and softball team. My school is small, so I play all four sports it offers. I feel obligated to do track because I'm not a horrible runner, and my dad wants me to. The catch is is that the days before a track meet and the morning of, I get sick and cry.","There could be a few different reasons why you get sick and cry before track meets. It could be that you're nervous or anxious about the meet, or it could be that you're not physically prepared for the event. If it's the latter, then you might want to consider talking to your coach about changing your training schedule. However, if it's the former, then you might want to try some relaxation techniques to help you calm down before the meet."
"Im a narcissistic asshole, but i cant accept it.",You are not a narcissistic asshole.
My boyfriend can't get over my promiscuous past. He says he loves me but says the thought of my past is disgusting and a sexual distraction. He says he should have had more sex with different people. I don't know how to handle this.,"You should try to be understanding and respectful of your boyfriend's feelings. It can be difficult to accept a partner's sexual past, especially if it is very different from our own. If your boyfriend is finding it hard to move past your sexual history, you could try reassuring him that you are committed to him and that your past is not a reflection of your feelings for him. You might also want to consider discussing your sexual boundaries and limits together, so that he feels more comfortable and secure in your relationship."
I am mindless and it's affecting my personal relationships,"This is a difficult question to answer without knowing more about your personal relationships and how your mindlessness is affecting them. If you are finding that your mindlessness is causing problems in your relationships, it may be helpful to talk to a therapist or counselor who can help you explore the root of the problem and find ways to improve your communication and connection with others."
I feel depressed about my travel trip,"I understand how you feel. Traveling can be very exciting, but it can also be stressful and exhausting. It's normal to feel a range of emotions when you're planning a trip, and it's okay to feel a little down about it. Just try to focus on the positive aspects of the trip, such as the new places you'll get to see and the people you'll meet. And remember, you can always come home if you need a break."
"I suffer from adult ADHD, anxiety disorder, and depression. It has been difficult to find a doctor in my area and my primary physician won't help. I am unemployed and overwhelmed. What would you suggest I do?","There are a few things you can do to find a doctor in your area that can help you with your disorders. One is to search online for doctors that specialize in treating ADHD, anxiety, and depression. Another is to ask around to family and friends if they know of any good doctors in your area. Finally, you can contact your local mental health association or psychiatric society to see if they have any recommendations."
"My mom and dad got divorced four years ago. I had to finish out the school year with my dad, and now they are deciding which place is best for me. I can't choose. How can I choose if I love both places?","It can be really difficult to choose between two places that you love, especially when it means living apart from one of your parents. Ultimately, you'll need to sit down with both of your parents and figure out what would work best for you logistically and emotionally. If you're feeling stuck, you could try making a list of pros and cons for each option, or talking to a trusted friend or family member for their opinion."
I was with my boyfriend for years on and off. We dated and broke up three times. Since we broke up five months ago I can't move on. I want to get back together but he won't talk to me. What should I do?,"There's no easy answer here. If you really want to get back together with your ex, you'll need to put in some hard work. First, try reaching out to him and seeing if he's willing to talk. If he's not, don't force the issue. Instead, focus on yourself. Work on improving your own life and wellbeing. If you can show your ex that you're doing well without him, he may start to reconsider getting back together."
i wish my mom understands im burnt out,I wish my mom could understand how burnt out I am.
Does this go against any ethical codes? Are there legal ramifications?,"There are no ethical codes that this goes against, and there are no legal ramifications."
"I'm a teenage gay girl, and I'm in love with a girl a few years older than me. She loves me too, but we're not physically together at the moment. I've been thinking about being transgender soon too, but my family doesn't accept me, so I honestly don't know what to do about that because I feel like I have to constantly hide the real me. It hurts so much to hide the real me. What can I do?","There are a few things you can do in this situation. Firstly, you could try talking to your family about your feelings and see if they are willing to accept you for who you are. If they are not, then you could look into finding a supportive group of friends or family members who will accept you. You could also look into therapy, which can help you deal with your feelings and figure out how to cope with your situation. Lastly, you could consider coming out publicly as transgender, which may help you to feel more comfortable in your own skin and help you to find acceptance from others."
"I have not been able to really sleep. I stay up all times of the night not even knowing why. Every day, I feel like I have anger inside of me. I have a little family, but I can't open up to them like I want to. I have a son, and I feel that I take my anger out on him by screaming at him.","It sounds like you may be struggling with some unresolved anger issues. It's important to try to find healthy ways to express your anger instead of taking it out on your family members. You could try talking to a therapist or counselor to help you work through these issues. Additionally, try to find some relaxation techniques that can help you manage your stress and anxiety levels."
How to recover from a therapy session ?,Give yourself time to process the session. It can be helpful to talk to someone you trust about what happened during the session. You may also want to journal about your thoughts and feelings. Give yourself time to relax and do things that you enjoy.
"I noticed lately that I've been thinking a lot about death. I don't want to die, and I'm not suicidal. I just think about what would happen if I died or if someone I loved died. I imagine how sad everyone I know would be. I know it isn't worth it, and I definitely want to live and have a future. I just think about it. When I'm driving, I sometimes imagine what would happen if I just let go of the wheel and kept going.","It's normal to think about death from time to time, especially if you've experienced a loss recently. However, if you find that you can't stop thinking about death and it's impacting your daily life, it's important to talk to a mental health professional. They can help you manage your thoughts and feelings around death."
"I get an uncontrollable swallowing that is repetitive and then somewhat out of body feeling that lasts no more than a minute or two. It usually happens in bed at night, but I occasionally experience this during the day. I have a benign brain tumor, but the doctor said it is not associated with this.",There is no known cause for this condition.
"My husband and I are in a terrible place. Part of me wants to fix it, but then I'm caught up with not knowing how and not being able to communicate my feelings to him because he always feels I'm blaming him. Sometimes I am because the feelings of distrust are so strong. I feel they must be coming from something he's doing, but sometimes I know I'm being irrational. Still, that doesn't stop the anxiety. The other half of the time, I just want to walk away, but I feel like that will only be a temporary fix.","It sounds like you and your husband are stuck in a cycle of mistrust and anxiety. It's important to try to communicate your feelings to him, but it's also important to be honest with yourself about whether or not you're being irrational. If you're feeling like you can't trust him, it may be best to take some time apart to figure out what you want and how to best move forward."
How can I help my son?,"There are a few things you can do to help your son become a more successful reader. First, you can make sure that he has plenty of opportunities to read. This means having plenty of books, magazines, and other reading materials available for him to read at home. You can also encourage him to read aloud to you or someone else on a regular basis. This will help him to improve his reading fluency, which is an important skill for reading success. Finally, you can help him to develop his comprehension skills by asking him questions about what he has read and helping him to find information in the text."
How does a counselor decide when to end counseling sessions or to terminate working with a client?,"The decision to end counseling sessions or to terminate working with a client is typically made by the counselor, with input from the client. Factors that may influence the decision include the client's progress in counseling, the counselor's assessment of the client's needs, and the client's ability to continue attending counseling sessions."
"I feel like every time I do something someone asks me to, I never fully meet what they want. I feel that when I finish it, they always think that they should have picked someone else to do it. I feel like they just want nothing to do with me.","It can be difficult when we feel like we're not meeting others' expectations, especially if we're trying our best. Sometimes, people may not be clear about what they want, or they may change their minds after we've started working on something. Other times, we may simply not be the right fit for the task at hand. If you're repeatedly feeling like you're not meeting others' expectations, it might be worth talking to them directly to see if there's anything you can do differently or if there's a different task that would be a better fit for you."
Need a help for my examination,"I'm sorry, but I cannot help you with your examination."
